seller_id,seller_username,seller_feedback_score,seller_positive_feedback_percentage
794,savingalot,6731,99.4
795,wp-resale,978,99.6
796,consumersale2017,1175,98.5
797,mjp4re2000,2649,100.0
798,streetc6,0,0.0
799,pskrusa,2414,97.8
800,sarah.urbanski,411,100.0
801,texasconsignmentshop,8852,98.7
802,dy-61342,24,100.0
803,montgomeryalabamapickers,705,98.7
804,bringyouroffer,514,99.3
805,pawnusawilmington,5272,99.7
806,sermar-7316,204,95.7
807,anatolia04,2304,99.4
808,lookawaylad,4892,100.0
809,gothicloner19925,112,100.0
810,godfatherpawn1,1844,100.0
811,dealspread,1491,99.7
812,pixelbeatdvd,80,100.0
813,hmdcwd08,5260,98.6
814,thetechfacility,9543,93.3
815,jacot1043,6,100.0
816,ccmiller931,4765,97.8
817,world-sellers1,4816,99.3
818,elupd-93,428,100.0
819,573macr,4499,99.0
820,spirithealthcare,8112,99.5
821,longwireless72,989,99.1
822,hknorgren,923,99.6
823,also714453,1,0.0
824,jgr_sales,5114,97.0
825,kicks_4_you,2915,98.6
826,zhw0021,21467,97.1
827,coffeesauce,0,50.0
828,poptrucker,221,97.4
829,jepie_2693,0,0.0
830,gray_knight,918,98.4
831,the*surplus*store,15745,98.6
832,northraleighsales,778,100.0
833,gingerrugger,376,98.0
834,try2fly217,75,91.2
835,cavus-66,21,100.0
836,e_shopper_cartz,425,100.0
837,heiz86,0,0.0
838,henrsmithj-0,153,100.0
839,viper62309,3978,97.6
840,jonran_94,0,0.0
841,4surpluscity,134051,97.8
842,isarabakingco,23,100.0
843,ridmaco,5450,100.0
844,secondlife2020,940,98.8
845,eastvalley_vintage,3660,99.2
846,mopi_31,2812,99.5
847,treasure9,6666,99.8
848,avery324,309,100.0
849,littlejoesstate,8352,98.1
850,sjhgl3,202,100.0
851,afripp7,2227,100.0
852,eliguti6643,5,100.0
853,laptops4u-14,4902,97.1
854,sale_shop6,97,100.0
855,nimi4828,1,0.0
856,aneliz881,38,100.0
857,brocjame6,105,100.0
858,khan_jasm,4,0.0
859,cleliasgroi123,299,100.0
860,assim2002,56463,99.7
861,delightfulfind,131,90.2
862,blessuu2,1579,98.3
863,generalstuff11,388,100.0
864,rale_3651,807,99.2
865,bargaincentral15,1668,100.0
866,dad_planet,5956,99.5
867,connermacloed,72,100.0
868,mr.md178,425,98.9
869,aloha_amor,4,100.0
870,phonerepairz,2013,98.6
871,6ave,91273,99.8
872,slda777,801,97.9
873,mightygee,78,100.0
874,ayeidibaba,13,0.0
875,jesyanez0,85,98.9
876,tlaser99,3238,100.0
877,vac-stars,1323,97.8
878,kate2163,77,100.0
879,brazun-41,2,100.0
880,variedemporium1,0,0.0
881,drdealsaz,118153,99.1
882,transmetal2012,430,100.0
883,rictol-6774,2,0.0
884,designerbrandss,8652,99.7
885,karkar.rklgdr,32,100.0
886,nrh692,4,100.0
887,plexus9sh-23,19,0.0
888,ebulletsllc,6297,98.7
889,kazrafe0,65,100.0
890,wishing_stone,107,0.0
891,joslag_7,138,100.0
892,kassie1316,918,100.0
893,yunyun06167,9,83.3
894,justcannotstandittoo,82,96.6
895,tkp_62,0,0.0
896,falloutbunker,10013,99.2
897,s.girl1228,145,100.0
898,swbtyhunter,1627,100.0
899,glady.bee,22,100.0
900,luble_9,1906,100.0
901,zoidz_teon,173,100.0
902,hanschristelle6289,850,100.0
903,hagi7805,33,100.0
904,dreampicker,220,75.0
905,km.mudsrus.com,559,100.0
906,danpelay-76,1369,98.1
907,sdbigguy,155,97.6
908,atlas744f,86,100.0
909,aldaroca86,291,100.0
910,juicedu-72,2,100.0
911,debb.olso,215,100.0
912,yaqupa-33,5,100.0
913,thrif_trove,13,100.0
914,jaxjea1,555,97.1
915,rigomor-49,1,100.0
916,mcs_onestopshop,226,100.0
917,albadementira2012,153,100.0
918,dmc3197_czthlhxwz,37,0.0
919,next1gen-tech,21,100.0
920,ron_avp,679,90.9
921,vinegret38,2176,100.0
922,firstlovegk,3856,99.0
923,nationwidedistributors,187175,96.9
924,aj-sales2019,170,99.0
925,alex_bmq3010,113,100.0
926,darlenge-0,72,100.0
927,power_parts_plus,1610,100.0
928,casmy-6,0,0.0
929,ginger520,48,100.0
930,onlinestore4,149,85.1
931,a11greatfinds,41,100.0
932,chancartw_74,3,100.0
933,bend_redmond_restore,184,100.0
934,4ddmq94,0,0.0
935,gabrielljones-case0,7,0.0
936,azure-market,15,100.0
937,cheevitdee,5637,97.9
938,sbroddle,167,100.0
939,guzm-lace,2,0.0
940,stema-789391,51,100.0
941,hazim-25,3,80.0
942,ghara.us.uuarkj,28,100.0
943,faresamh,2235,96.1
944,betterway36,898,100.0
945,kaesan21,673,100.0
946,gchottie22,105,100.0
947,thedappe_74,2403,98.2
948,achyughorsain_0,19,100.0
949,alceba_14,2318,99.5
950,annaleighsellsthings,62,100.0
951,wbitems,651,100.0
952,zhu6899,0,0.0
953,dailyin-ssst,33,97.1
954,sashaa888,58,96.8
955,teskrend,48,100.0
956,buyitnowprices218,56,98.1
957,art_of_sale,5023,93.3
958,nrazwani,3,0.0
959,supplierstechpro,179,100.0
960,senajapan,75,100.0
961,jbgigi77,7,100.0
962,nikehead04,200,100.0
963,vladmat-7017,0,0.0
964,ar-darde-w5lttolx,1,0.0
965,rsgtech,1207,100.0
966,crypriptreasures,1087,95.4
967,isamart824,26,95.5
968,ma-24444488,13,100.0
969,relenow098les,30,0.0
970,tvforlessmn1,283,100.0
971,dape_1450,262,95.6
972,chayaca9,0,0.0
973,planty99,1274,100.0
974,rathvorat,299,100.0
975,dzadro,132,100.0
976,blimstre0,217,96.7
977,ummu-y,1,0.0
978,jnscher,374,100.0
979,jayjaypeach,22,100.0
980,oakraid-3416,661,100.0
981,jefze-22,3,0.0
982,zmtxq68,1,100.0
983,dzungz70,13,0.0
984,azgg07,48,100.0
985,josecsanchez23,8,100.0
986,starlight.321,2718,97.4
987,trtotrito2011,593,98.3
988,animee4life,11,100.0
989,pds267,5,0.0
990,dele_7,0,0.0
991,ernpar_53,9,100.0
992,ewe.li18,675,99.1
993,michi_shop,1937,96.5
994,express-way,13161,99.5
995,johr-41,10,100.0
996,dartha_14,0,0.0
997,pari0820,1093,97.2
998,thowell888,1935,96.5
999,marisa_4863,5,100.0
1000,hatarakuman-2118,222,99.6
1001,krazydealz22,353,98.8
1002,industrial.resolution,4260,99.5
1003,extsy6,25,100.0
1004,discountdeal777,97,98.9
1005,lilyspad11,3536,98.7
1006,hblakman,478,77.8
1007,saamr71,1396,95.7
1008,chapr_1780,1,100.0
1009,emgi7926,0,0.0
1010,wolfdog615,938,96.1
1011,swiftsourced,0,0.0
1012,ktakuya2012,4342,99.2
1013,nestnexus,2041,97.4
1014,deb_8029,0,0.0
1015,miamimini,26,95.8
1016,yabeee22,462,95.8
1017,ken-tris,35,100.0
1018,tdiaz8,2,100.0
1019,oiloftheozarks,121,100.0
1020,bjzuoshangguan,98,90.9
1021,bigbubba8626,1317,95.6
1022,jender.io,126891,99.3
1023,atk_marketplace,623,100.0
1024,japan_goods_ship,452,97.0
1025,sanlosu200,0,0.0
1026,g-asbil-nryptq09,22,83.3
1027,yaser2013,207,100.0
1028,theoutdoorguy00,454,100.0
1029,for-your-treasures-japan,1190,98.6
1030,omaalotaib63,20,100.0
1031,techliquidator,553,95.5
1032,aloe.white21,1124,94.9
1033,genuinegoods01,43,100.0
1034,flclstore,58,93.1
1035,beefyk,4087,99.1
1036,bfinman,5189,99.8
1037,soibomm,2409,100.0
1038,sakuraya.77,1049,96.8
1039,divelysurplus,15745,97.4
1040,theycallmered88,188,96.6
1041,justbuyit_99,17,77.8
1042,criticalcommodity,3601,98.6
1043,dee1152,562,100.0
1044,gold4u.com,29977,99.8
1045,krfeng,41,100.0
1046,forever_us,38,100.0
1047,edentribeshop,1439,94.1
1048,jadon_h,831,91.7
1049,globaldeals17,227,97.9
1050,magicianmatias,322,100.0
1051,tanocyjapan,42,100.0
1052,damierlangevine,463,100.0
1053,wim4246,265,100.0
1054,shop*quality*deals,9677,99.2
1055,marmar_4832,1,100.0
1056,ms-online-store-us,872,100.0
1057,queenquee-44,2,0.0
1058,mixmasterpusa,1965,100.0
1059,kasan-3187,7,100.0
1060,discount.centralal,3416,99.2
1061,pargo-commerce,3350,98.5
1062,laboy_1030,2,0.0
1063,noti-4234,5,0.0
1064,jia_ya6,708,97.0
1065,uclme7,309,96.2
1066,adamantrix,254,69.2
1067,pctl1946,0,0.0
1068,christine_26767,1,0.0
1069,archeologycity,13336,98.6
1070,indianflash,8127,99.8
1071,siepr0,0,0.0
1072,tomn_622,7,100.0
1073,babypig888,155,0.0
1074,wakyu0,112,97.4
1075,andhor-31,0,0.0
1076,danielj0220,3827,98.5
1077,kobec2009il,2775,97.9
1078,angel._1507,5,100.0
1079,andrew_lizs_treasures,1885,97.3
1080,beautyrenew,28488,98.5
1081,darblys,4966,99.6
1082,gora-4901,0,0.0
1083,sky360-9,24,100.0
1084,wama_3804,0,0.0
1085,omgshoes,539,96.2
1086,thebestfamilydiscountstore,8,83.3
1087,bossmustang666,1836,99.4
1088,black21white,12,0.0
1089,gozuc_0,642,98.2
1090,sterow-8716,0,0.0
1091,pupa_8547,0,0.0
1092,greedisland,1,100.0
1093,poolshoo-56,12,0.0
1094,freshdeal,749,96.3
1095,mohael_3952,0,0.0
1096,moali12392-8,53,95.2
1097,marob-448,0,0.0
1098,superradcollectibles,1106,100.0
1099,japan.innovation8008.shop,196,100.0
1100,jls-enterprises,3,100.0
1101,deals2ubyme,7,100.0
1102,nocr9472,1,100.0
1103,farturgan0,10,100.0
1104,amiller478,274,94.4
1105,zenithsavvy,13,100.0
1106,tonyd5600,23330,99.6
1107,mr384byrd_8,150,100.0
1108,groco30,0,0.0
1109,secam-llc,19,85.2
1110,snows_store,6,100.0
1111,yes_japan,1139,86.8
1112,ifixawire_0,98,95.6
1113,clairicia77,8,100.0
1114,druzz-66,1,0.0
1115,mopkobka80,42,100.0
1116,chino.c,14,50.0
1117,7three3,107,100.0
1118,fitbiz561,115,100.0
1119,michcon-4477,0,0.0
1120,krystelle-store,3894,98.3
1121,faresales,2357,99.6
1122,pnpsaun_0,27,100.0
1123,stackinbndz,0,0.0
1124,mymias,583,96.5
1125,jamen_2079,31,100.0
1126,ureus64,128,100.0
1127,tibos_6553,0,0.0
1128,ppwholesaleaz,0,0.0
1129,jagib8950,1,0.0
1130,jdgo_25,126,92.3
1131,hiykawa_0,152,94.6
1132,omamohame612,2,50.0
1133,minishi_10,293,100.0
1134,pokejapan2018,1170,91.2
1135,webuy376,16245,97.7
1136,jp6jd63,0,0.0
1137,techpro_1,1205,99.2
1138,marquetong-2,7,0.0
1139,treasurefeeling,766,97.0
1140,littlescallions,97,100.0
1141,ragtop.man,2571,100.0
1142,everythingemporiumandmore,396,96.3
1143,m_7alawani,1,50.0
1144,jaalg6533,1,100.0
1145,bestch-29,23,88.9
1146,ariadn_12,3,100.0
1147,onlinevendormachine,848,96.4
1148,kateeempire,2,100.0
1149,bar_fard,4,0.0
1150,jojogirl82,644,93.8
1151,merricom_inc,86,100.0
1152,guanmus,50,100.0
1153,desertwaif4135,1463,100.0
1154,brethrenjames,1011,91.1
1155,rob30106,2,100.0
1156,kasim_2831,0,0.0
1157,qiantr0,0,0.0
1158,vidan_81,0,0.0
1159,pleiades63,89,96.4
1160,williawe-88,161,100.0
1161,the.real.doctordave,1362,100.0
1162,finesellersbooth,2267,95.7
1163,privatesellersnetwork,4219,98.3
1164,worldspecia-0,0,100.0
1165,shir_9659,0,0.0
1166,jp_legend-1427,1405,95.6
1167,busyb_86,34,93.5
1168,harah_931,1350,98.2
1169,lilji88,0,0.0
1170,xik514,0,0.0
1171,ashcr_2746,7,0.0
1172,nfts-57,0,0.0
1173,tokyotreasuretrove,216,99.0
1174,electroids-com,704,98.6
1175,lpsinc,3428,98.7
1176,huesteen,75,0.0
1177,homecia,6,100.0
1178,kk4hu-38,0,0.0
1179,ikham-0,644,100.0
1180,itemsfourless,726,98.6
1181,habpri0,72,100.0
1182,ne_351581,0,0.0
1183,dn2285,174,100.0
1184,ecombum,0,0.0
1185,saleslistings,244,99.1
1186,cw10-72,0,0.0
1187,fullbright-sales,1247,99.3
1188,phpeli-0,0,0.0
1189,lasvegassneakerheads,234,93.3
1190,sh6751,0,0.0
1191,qiago20,3,0.0
1192,rachelmh99,1,100.0
1193,pacpac32,0,0.0
1194,madisynthill21,0,0.0
1195,cab3812,257,50.0
1196,bestprice4you2006,2728,97.9
1197,9147883999,40,100.0
1198,cabool-95,4,66.7
1199,febarcelos1986_7,126,100.0
1200,asfhhmz2,231,97.1
1201,josmur_4227,0,0.0
1202,ksorat,1281,100.0
1203,japan_world_shop,2059,99.7
1204,burntfrog6,29,0.0
1205,dck7h-41,0,0.0
1206,bettertodaythantomorrow,4952,99.0
1207,ethnic400,3980,100.0
1208,clubcaribean,2396,96.8
1209,ibim9552,0,0.0
1210,javari-77,2,0.0
1211,shehil-90,-1,0.0
1212,ausjor_34,0,0.0
1213,ombra_8766,1,0.0
1214,micbal7208,2,0.0
1215,wireless818,389,100.0
1216,unogoo_trade05,9009,98.3
1217,grandmothersart,4136,96.2
1218,jakowa31,1,0.0
1219,mcg_3256,0,0.0
1220,luxuryn3856,6,100.0
1221,universalretail,0,0.0
1222,mitchearl23,584,98.4
1223,ebabe-777,1,50.0
1224,jabe_736662,0,0.0
1225,microcity146,5700,100.0
1226,jaqu_8722,0,0.0
1227,energy_k,764,0.0
1228,ts_529,1,100.0
1229,namaj-6682,4,0.0
1230,mraron_kqhn8gf,14,80.0
1231,gregvacman_6,133,100.0
1232,jomatt1987,2,0.0
1233,elko-68,122,0.0
1234,jahjah2611,28,0.0
1235,aa-warehouse,1134,88.6
1236,br365-japan,1010,100.0
1237,noobcakeresales,1991,99.1
1238,janjan_japan,836,99.5
1239,green-kobe,524,99.5
1240,moto_hobby_jp,13562,97.3
1241,homeessentialhub,5,100.0
1242,jlindse8,905,100.0
1243,yukiman3003,673,98.2
1244,shibuyasyoten,52,100.0
1245,rikilynsantisteva_0,5,100.0
1246,bright_japan,847,97.6
1247,sakura-store.japan,1229,99.7
1248,patod_7088,0,0.0
1249,rmbaudot1994,42,0.0
1250,robernewto_4,136,100.0
1251,nzoputa,1714,97.3
1252,blackjackcat,10380,100.0
1253,mr2013us,347,87.2
1254,labad2024,6,80.0
1255,rrsa1esllc,1035,98.9
1256,ricus.bez1yhuqp,89,0.0
1257,makupmistress,164,100.0
1258,nomoh9351,0,0.0
1259,racesp36,0,0.0
1260,josuroble_1,15,100.0
1261,mujawir,342,96.0
1262,tiffanymarie5,1,100.0
1263,krodra_0,0,0.0
1264,huncho123,0,0.0
1265,comfgoods,29,0.0
1266,nasm_9080,0,0.0
1267,motoparts1988_8,5,0.0
1268,emalha-32,-1,0.0
1269,aspj8606,2485,99.5
1270,qumcca_62,0,0.0
1271,jahlioness83,83,100.0
1272,freightnavy,8,0.0
1273,superdealglobal,1660,98.0
1274,rubefrancisc-3,44,0.0
1275,lugo-7829,0,0.0
1276,mitgoods,0,0.0
1277,techno_cali23,2,0.0
1278,scem_46,0,0.0
1279,marihar_5614,1,100.0
1280,dev_7243,0,0.0
1281,jamart3962,0,0.0
1282,babbz963-3,1,0.0
1283,meow5413,14,100.0
1284,dikoldei0,0,0.0
1285,juan-az,4,100.0
1286,djsasson18,501,100.0
1287,apc_sales,3702,98.9
1288,wefun_27,2,100.0
1289,regdol86,0,0.0
1290,pekar._27,1,100.0
1291,ecomsolutions,343,100.0
1292,worldmerchant,3085,83.3
1293,buywhizzz,1429,87.5
1294,rug9575-sinhps,47,100.0
1295,jahel6362,0,0.0
1296,jastal7710,2,0.0
1297,wearemarketing,24,0.0
1298,allysoncap,101,100.0
1299,wood45tv,64,0.0
1300,nowashi_46,0,0.0
1301,miphil-9471,0,0.0
1302,danden-40,1,0.0
1303,shepher-7610,0,0.0
1304,saucch99,0,0.0
1305,smit-2494,0,0.0
1306,oneclickwarehousedotnet,1682,99.5
1307,lovelee16,48,100.0
1308,amilongori0,3753,92.2
1309,hiddenfindsnow,2797,99.3
1310,tronicworld1,2632,99.5
1311,rts1209,771,94.3
1312,buyvintagenow,184,99.4
1313,jar_enterprises,260,100.0
1314,quickdeal12,1317,94.4
1315,sakit-annou,2449,95.1
1316,amkha6693,109,93.6
1317,mr.flexingonem,609,91.0
1318,qtais-qtais,1510,100.0
1319,mdus_75,50,100.0
1320,trap21061,503,97.2
1321,tlretail,188,96.7
1322,matryoshka1,22672,98.3
1323,jus7in77,122,95.9
1324,holidaygiftsexpress,222,100.0
1325,happybunny_3,111,94.7
1326,omm77z,217,100.0
1327,unitedmind_0825,2278,99.0
1328,nihonmono-shop,919,98.9
1329,dniex_tokyo,834,96.2
1330,stand_29,2069,99.8
1331,sg01-3,30,100.0
1332,rugerskick,1696,100.0
1333,brha-4990,2,62.5
1334,ticke-9351,162,98.8
1335,jae10_26,206,99.0
1336,5-discount,567,95.9
1337,dayv_tapi,230,83.3
1338,sani_8358,0,0.0
1339,howmech0,190,100.0
1340,tennfie0,3,71.4
1341,heyde-89,483,97.1
1342,bowtietronics3,133,93.6
1343,soundpetanimalrescue,1131,98.6
1344,greatstoragefinds4u,3398,100.0
1345,sweetgirl010203,1350,92.3
1346,betterchoice4life,40,95.3
1347,everythingsells100,1295,99.7
1348,goldendeals-usa,1930,99.2
1349,golfdaddy,704,99.0
1350,pabrya-12,41,88.2
1351,victosin,36,76.2
1352,everythingforsaleallover,616,74.3
1353,sales_today2,517,98.6
1354,momssidegig,120,98.3
1355,tiffa-tchir,466,100.0
1356,greatauctions21,7617,97.4
1357,devinsmarketplace,7,88.9
1358,vikingc-85,1016,96.2
1359,noctiluc,2593,96.4
1360,wohu.gmail,50,69.2
1361,playtimezone0372,2027,95.4
1362,weget2ushop,2645,96.9
1363,zabjwholesalecentral2015,851,100.0
1364,pamonmediallc,756,93.3
1365,3804store,1591,98.8
1366,javieanselm-0,589,95.5
1367,cheapees-shop,19588,95.7
1368,caseydoes84,726,99.3
1369,saclfep_66,526,89.4
1370,professionalsupplies,58,100.0
1371,notjusthifi,1757,97.2
1372,deadeye1976,75,100.0
1373,liquidation.land,13,88.9
1374,damen-4609,657,97.5
1375,mrs_ft11,29,100.0
1376,cuprum,74,100.0
1377,blessedlife16,3333,98.4
1378,essentialliquidation,230,97.7
1379,wholesale.iq,1013,94.4
1380,ace-collection,486,94.4
1381,oncewantedonlinesales,528,98.9
1382,laksm-8269,57,88.9
1383,lamborghini0308,9415,98.6
1384,outlawwholesaleliquidators,2696,98.1
1385,jorglorent_0,0,50.0
1386,wheelnddeals,79,96.3
1387,kenj313,32,96.6
1388,qualitysurplussalesllc,8244,98.4
1389,zippadoo,1353,100.0
1390,jebell8,56,0.0
1391,magnate91,91,100.0
1392,przemeknyc407y,488,100.0
1393,jonesn3hjq,1853,100.0
1394,dtmk1,178,100.0
1395,thehouseofgigi,3527,100.0
1396,random-goodies,459,100.0
1397,therecklesspath,928,99.6
1398,leesfashionleather,1196,100.0
1399,ricacommercial,50549,99.7
1400,mos_0809,444,0.0
1401,restj_68,0,0.0
1402,digitalwideworld,249,97.7
1403,josem8850,802,100.0
1404,headz-or-tailz,472,100.0
1405,iceman321532,1077,100.0
1406,mitru8863,0,0.0
1407,heider1950,8,0.0
1408,noblesoapco,1824,98.4
1409,marrub158,0,0.0
1410,vladyero_65,1,100.0
1411,findgooddeals_1460,2,100.0
1412,www.turbogod.com,359,100.0
1413,wjo-56,0,0.0
1414,anatoli44,202,100.0
1415,veronicpanago-0,1,100.0
1416,mazinger1982,623,98.3
1417,bobsemail2005,1492,100.0
1418,shlin_7413,0,0.0
1419,robermarti-28,1612,100.0
1420,nancytran1979,616,100.0
1421,tommybl1975,655,99.4
1422,trmil-5910,0,0.0
1423,racre8708,0,0.0
1424,judyo508,1065,100.0
1425,systemlord**,74,100.0
1426,glen.bedna,1268,99.0
1427,shihtzusmile,4520,100.0
1428,pomsarecute,13,100.0
1429,bagborrowdeal,330,100.0
1430,yelnats125,34,100.0
1431,loel_64,0,0.0
1432,raymu-verga,7,100.0
1433,discountpros2010,8711,99.4
1434,batkar_3,0,0.0
1435,lucacci-8,4,100.0
1436,eblair84,14,0.0
1437,senorfinch,6,100.0
1438,brehern2933,9,100.0
1439,niha1346,0,0.0
1440,lydirobso0,3,100.0
1441,zarapatz1,38,0.0
1442,marsa_772,0,0.0
1443,certifiedrefurbished,1109,99.6
1444,uetronics,21966,98.8
1445,shopall3,6,100.0
1446,vastyy,21,100.0
1447,msko86,22,100.0
1448,noegar-5246,1,0.0
1449,isably8717,142,100.0
1450,washi-alexa,262,97.0
1451,sellerjay_876,0,0.0
1452,anve-2342,0,0.0
1453,smr710,7,100.0
1454,dropss7,15,100.0
1455,truecagirl1004,496,100.0
1456,hellogoodlife1,12742,98.1
1457,rahino21,28,100.0
1458,mer2022,48,100.0
1459,getmusahm,93,100.0
1460,steals-dealsonwheels,401,97.2
1461,joelbecerra1012,353,99.3
1462,omakase.0-99,9,100.0
1463,rakancatch,1067,98.6
1464,electronicresellsx,0,0.0
1465,2nd.chance.marketplace.inc,269,100.0
1466,micbe_1667,0,0.0
1467,jeruthe-58,1,100.0
1468,madeinjapandeals,60,100.0
1469,hkumi,257,0.0
1470,conks_top_notch_sales,2368,98.9
1471,yveeve2,0,0.0
1472,alexkurdy-0,2,100.0
1473,bigric2121,4,100.0
1474,franklin1923,1591,100.0
1475,juszh13,0,0.0
1476,zaytrim13,0,0.0
1477,hjslentz,903,100.0
1478,bec83,15311,99.9
1479,geraserra_0,1956,95.5
1480,hez-1631,26,100.0
1481,shiba_00_japan,1021,96.8
1482,allen.king23,37,80.0
1483,natngu1770,0,0.0
1484,innovative-solutions-and-sales,2528,99.3
1485,tylerh24,1,66.7
1486,tamstoy,1416,100.0
1487,lou240_1,20,100.0
1488,plugdistrictt,3,100.0
1489,kazuya07kazuya,462,94.6
1490,2014xcess,70143,96.7
1491,ve-204,780,100.0
1492,runnitupbxnkroll,0,0.0
1493,wmjf-60,1,66.7
1494,2015livel,29,95.7
1495,turbotradejp,33,100.0
1496,kenm-93,155,98.1
1497,fashion-picks,1255,100.0
1498,buy-here-inc,9352,98.9
1499,seller47269,3,0.0
1500,elctro1city,4083,97.5
1501,sursay,978,99.2
1502,tradingcards777,17,100.0
1503,ogsnretros,222,100.0
1504,melloresells,1,0.0
1505,chauncey.bishop,315,96.3
1506,hillmd,257,100.0
1507,noahsimonian,174,100.0
1508,justgoodstuff-nj,18045,98.9
1509,unrealpalletfinds,7,100.0
1510,gloveaffairs,2350,100.0
1511,t.leaf0122,601,100.0
1512,rosaafo-6,22,100.0
1513,always.deals,124111,98.1
1514,19bigal63,512,100.0
1515,nvrslowdown,22,0.0
1516,refindllc,46,100.0
1517,kegre-5624,20,100.0
1518,azua101,295,100.0
1519,hert.jos,924,96.6
1520,synergyindustrial,55966,98.6
1521,b.b.-6508,48,100.0
1522,meritus.k,112,96.6
1523,gadgetlake,292,100.0
1524,books2charity,2037,98.1
1525,stlnismoz32,280,95.2
1526,miracals,713,97.9
1527,alamocity1527,318,100.0
1528,whickeddeals,13837,99.0
1529,steezysteals,1233,100.0
1530,cdmbg,570,100.0
1531,antiqueswag,205,100.0
1532,happy-mg,1005,99.3
1533,total_com,2589,100.0
1534,t0pgun2005,15379,99.7
1535,ninoj_85,122,98.8
1536,betofl1,8664,98.9
1537,theprimetimeoutlet,1580,99.5
1538,thriftingmom,282,100.0
1539,bonitatreasuresinc,24205,99.5
1540,gran_room_tokyo,289,99.2
1541,ussoccercollector,1036,100.0
1542,beauty_2018_fastshipping,7664,99.2
1543,fixanything$$$,3111,99.4
1544,localelectronics2010,2904,99.2
1545,tokyoselect55,3493,99.2
1546,rade_inc,1374,99.7
1547,erswar11,9753,99.4
1548,renli1000,1048,100.0
1549,isaiahhardy,589,100.0
1550,allworkingparts,106,100.0
1551,fotobike,407,100.0
1552,k2empire1,2492,98.8
1553,galina4558,724,98.6
1554,mizkim-36,1274,99.3
1555,nate0322,1250,98.7
1556,rl-group1,13829,98.9
1557,qualityproducts05,71,98.6
1558,aromaarcade,13,0.0
1559,kai.xch,70,100.0
1560,discountdenfinds,45,97.9
1561,ricardo_bibian,2,0.0
1562,beansport,859,100.0
1563,recycgal,1056,100.0
1564,bigtims_attic,554,98.0
1565,howwinne-67,8,0.0
1566,manba3449,0,0.0
1567,tikkic-39,18,100.0
1568,pdrickyyy,0,0.0
1569,moonshine_mike,854,100.0
1570,weenerdog7,762,98.3
1571,dmecom56,5206,99.1
1572,debapt_2,0,0.0
1573,vegas_estate_finds,1901,100.0
1574,jp-valuablegoodsshop,101,100.0
1575,rao-store,822,100.0
1576,kaja_3318,318,98.7
1577,johnwoo_mini,1333,99.4
1578,ninjastrike007,2657,99.7
1579,monkeytote,19271,97.9
1580,gusgr593,904,99.3
1581,sakura396,415,100.0
1582,mad*alex,1969,100.0
1583,zhanzhon_4,402,98.1
1584,usabiga_9nhly7f,49,100.0
1585,cmdoyle53,148,100.0
1586,kito114,338,99.4
1587,lalaflower_jp,48,100.0
1588,vh4316,24,100.0
1589,sagahventuresltd,171,98.0
1590,ama-terasu,1346,99.6
1591,dlcvending82,2733,98.0
1592,miscelvania,8156,98.9
1593,yumijam,577,100.0
1594,more-9800,0,0.0
1595,tia1891,51,100.0
1596,japan._.gems,24,100.0
1597,japan_gems,614,98.9
1598,nellybelly628,1472,100.0
1599,21karlos,121,100.0
1600,omakase_japaaan01,806,99.7
1601,norez-14,104,98.8
1602,sonoftchoup1,267,100.0
1603,a.m.treasures,1329,100.0
1604,aiper21,0,0.0
1605,byritecoin,35,100.0
1606,mpwnyc,341,100.0
1607,commongroundrob,305,100.0
1608,sakura_happy_market,31,100.0
1609,epeenphrine,64,100.0
1610,runsun,74,98.7
1611,jmcadv-0,130,100.0
1612,fujiyama-roc,134,100.0
1613,stbonnett,6174,99.4
1614,expo_jp,548,99.1
1615,r9r4x74,0,0.0
1616,consm_96,0,0.0
1617,salemiamifl,90,100.0
